Index,Region/Country/Area,Year,Series,Value
627,Burkina Faso,2021,Lower secondary education,1.2
628,Burkina Faso,2005,Upper secondary education,0.6
629,Burkina Faso,2010,Upper secondary education,0.61
630,Burkina Faso,2015,Upper secondary education,0.66
631,Burkina Faso,2019,Upper secondary education,0.79
632,Burkina Faso,2020,Upper secondary education,0.83
633,Burkina Faso,2021,Upper secondary education,0.9
634,Burundi,1995,Primary education,0.8
635,Burundi,2005,Primary education,0.86
636,Burundi,2010,Primary education,0.99
637,Burundi,2015,Primary education,1.03
638,Burundi,2019,Primary education,1.01
639,Burundi,2020,Primary education,1.01
640,Burundi,2005,Lower secondary education,0.76
641,Burundi,2010,Lower secondary education,0.76
642,Burundi,2015,Lower secondary education,1.01
643,Burundi,2019,Lower secondary education,1.26
644,Burundi,2020,Lower secondary education,1.27
645,Burundi,2005,Upper secondary education,0.66
646,Burundi,2010,Upper secondary education,0.59
647,Burundi,2015,Upper secondary education,0.74
648,Burundi,2019,Upper secondary education,1.02
649,Burundi,2020,Upper secondary education,1.16
650,Cabo Verde,2005,Primary education,0.96
651,Cabo Verde,2010,Primary education,0.93
652,Cabo Verde,2015,Primary education,0.93
653,Cabo Verde,2019,Primary education,0.94
654,Cabo Verde,2005,Lower secondary education,1.12
655,Cabo Verde,2010,Lower secondary education,1.11
656,Cabo Verde,2015,Lower secondary education,1.02
657,Cabo Verde,2019,Lower secondary education,1
658,Cabo Verde,2005,Upper secondary education,1.14
659,Cabo Verde,2010,Upper secondary education,1.32
660,Cabo Verde,2015,Upper secondary education,1.28
661,Cabo Verde,2019,Upper secondary education,1.24
662,Cambodia,1995,Primary education,0.82
663,Cambodia,2005,Primary education,0.93
664,Cambodia,2010,Primary education,0.94
665,Cambodia,2015,Primary education,0.96
666,Cambodia,2019,Primary education,0.97
667,Cambodia,2020,Primary education,0.97
668,Cambodia,2021,Primary education,0.98
669,Cambodia,2005,Lower secondary education,0.8
670,Cambodia,2010,Lower secondary education,0.97
671,Cambodia,2015,Lower secondary education,1.03
672,Cambodia,2019,Lower secondary education,1.12
673,Cambodia,2020,Lower secondary education,1.14
674,Cambodia,2021,Lower secondary education,1.15
675,Cambodia,2019,Upper secondary education,1.12
676,Cambodia,2020,Upper secondary education,0.99
677,Cambodia,2021,Upper secondary education,1.15
678,Cameroon,1995,Primary education,0.9
679,Cameroon,2005,Primary education,0.84
680,Cameroon,2010,Primary education,0.86
681,Cameroon,2015,Primary education,0.9
682,Cameroon,2019,Primary education,0.9
683,Cameroon,2021,Primary education,0.91
684,Cameroon,2005,Lower secondary education,0.8
685,Cameroon,2010,Lower secondary education,0.81
686,Cameroon,2015,Lower secondary education,0.88
687,Cameroon,2019,Lower secondary education,0.87
688,Cameroon,2020,Lower secondary education,0.87
689,Cameroon,2021,Lower secondary education,0.88
690,Cameroon,2005,Upper secondary education,0.77
691,Cameroon,2010,Upper secondary education,0.81
692,Cameroon,2015,Upper secondary education,0.81
693,Cameroon,2019,Upper secondary education,0.87
694,Cameroon,2020,Upper secondary education,0.87
695,Cameroon,2021,Upper secondary education,0.9
696,Canada,1995,Primary education,0.99
697,Canada,2005,Primary education,0.99
698,Canada,2010,Primary education,1.01
699,Canada,2015,Primary education,1.01
700,Canada,2019,Primary education,0.99
701,Canada,2020,Primary education,0.99
702,Canada,2005,Lower secondary education,0.98
703,Canada,2010,Lower secondary education,0.99
704,Canada,2015,Lower secondary education,1
705,Canada,2019,Lower secondary education,1.01
706,Canada,2020,Lower secondary education,1.01
707,Canada,1995,Upper secondary education,1.01
708,Canada,2005,Upper secondary education,0.98
709,Canada,2010,Upper secondary education,0.97
710,Canada,2015,Upper secondary education,1.01
711,Canada,2019,Upper secondary education,1.01
712,Canada,2020,Upper secondary education,1.02
713,Cayman Islands,2005,Primary education,0.96
714,Cayman Islands,2015,Primary education,0.97
715,Cayman Islands,2021,Primary education,1.01
716,Cayman Islands,2005,Lower secondary education,0.89
717,Cayman Islands,2005,Upper secondary education,1
718,Cayman Islands,2020,Upper secondary education,1.08
719,Central African Republic,2005,Primary education,0.7
720,Central African Republic,2010,Primary education,0.73
721,Chad,1995,Primary education,0.49
722,Chad,2005,Primary education,0.68
723,Chad,2010,Primary education,0.73
724,Chad,2015,Primary education,0.77
725,Chad,2019,Primary education,0.78
726,Chad,2021,Primary education,0.8
727,Chad,2005,Lower secondary education,0.37
728,Chad,2010,Lower secondary education,0.45
729,Chad,2015,Lower secondary education,0.49
730,Chad,2019,Lower secondary education,0.58
731,Chad,2021,Lower secondary education,0.63
732,Chad,1995,Upper secondary education,0.19
733,Chad,2005,Upper secondary education,0.28
734,Chad,2010,Upper secondary education,0.36
735,Chad,2015,Upper secondary education,0.35
736,Chad,2019,Upper secondary education,0.44
737,Chad,2021,Upper secondary education,0.49
738,Chile,2005,Primary education,0.96
739,Chile,2010,Primary education,0.97
740,Chile,2015,Primary education,0.97
741,Chile,2019,Primary education,0.97
742,Chile,2020,Primary education,0.97
743,Chile,2005,Lower secondary education,0.98
744,Chile,2010,Lower secondary education,1
745,Chile,2015,Lower secondary education,0.98
746,Chile,2019,Lower secondary education,0.97
747,Chile,2020,Lower secondary education,0.97
748,Chile,2005,Upper secondary education,1.03
749,Chile,2010,Upper secondary education,1.05
750,Chile,2015,Upper secondary education,1.02
751,Chile,2019,Upper secondary education,1
752,Chile,2020,Upper secondary education,1
753,China,1995,Primary education,0.95
754,China,2010,Primary education,0.98
755,China,2015,Primary education,1
756,China,2019,Primary education,1.01
757,China,2020,Primary education,1.01
758,China,2021,Primary education,1.01
759,China,2010,Lower secondary education,1.01
760,China,2010,Upper secondary education,0.98
761,China,2015,Upper secondary education,1.05
762,China,2019,Upper secondary education,1.04
763,China,2020,Upper secondary education,1.03
764,China,2021,Upper secondary education,1.02
765,"China, Hong Kong SAR",1995,Primary education,1.01
766,"China, Hong Kong SAR",2015,Primary education,1.02
767,"China, Hong Kong SAR",2019,Primary education,1.05
768,"China, Hong Kong SAR",2020,Primary education,1.04
769,"China, Hong Kong SAR",2021,Primary education,1.04
770,"China, Hong Kong SAR",2005,Lower secondary education,0.99
771,"China, Hong Kong SAR",2010,Lower secondary education,0.99
772,"China, Hong Kong SAR",2015,Lower secondary education,0.98
773,"China, Hong Kong SAR",2019,Lower secondary education,0.99
774,"China, Hong Kong SAR",2020,Lower secondary education,1.01
775,"China, Hong Kong SAR",2021,Lower secondary education,1.02
776,"China, Hong Kong SAR",2005,Upper secondary education,1.03
777,"China, Hong Kong SAR",2010,Upper secondary education,1.02
778,"China, Hong Kong SAR",2015,Upper secondary education,0.99
779,"China, Hong Kong SAR",2019,Upper secondary education,0.96
780,"China, Hong Kong SAR",2020,Upper secondary education,0.96
781,"China, Hong Kong SAR",2021,Upper secondary education,0.97
782,"China, Macao SAR",2005,Primary education,0.94
783,"China, Macao SAR",2010,Primary education,0.98
784,"China, Macao SAR",2015,Primary education,0.98
785,"China, Macao SAR",2019,Primary education,0.98
786,"China, Macao SAR",2020,Primary education,0.98
787,"China, Macao SAR",2021,Primary education,0.98
788,"China, Macao SAR",2005,Lower secondary education,0.91
789,"China, Macao SAR",2010,Lower secondary education,0.93
790,"China, Macao SAR",2015,Lower secondary education,0.96
791,"China, Macao SAR",2019,Lower secondary education,0.98
792,"China, Macao SAR",2020,Lower secondary education,1
793,"China, Macao SAR",2021,Lower secondary education,0.99
794,"China, Macao SAR",2005,Upper secondary education,0.98
795,"China, Macao SAR",2010,Upper secondary education,1.03
796,"China, Macao SAR",2015,Upper secondary education,1.01
797,"China, Macao SAR",2019,Upper secondary education,1.02
798,"China, Macao SAR",2020,Upper secondary education,1
799,"China, Macao SAR",2021,Upper secondary education,1
800,Colombia,1995,Primary education,0.99
801,Colombia,2005,Primary education,0.98
802,Colombia,2010,Primary education,0.98
803,Colombia,2015,Primary education,0.97
804,Colombia,2019,Primary education,0.97
805,Colombia,2020,Primary education,0.97
806,Colombia,2021,Primary education,0.97
807,Colombia,2005,Lower secondary education,1.08
808,Colombia,2010,Lower secondary education,1.06
809,Colombia,2015,Lower secondary education,1.03
810,Colombia,2019,Lower secondary education,1.02
811,Colombia,2020,Lower secondary education,1.01
812,Colombia,2021,Lower secondary education,1.01
813,Colombia,2005,Upper secondary education,1.19
814,Colombia,2010,Upper secondary education,1.2
815,Colombia,2015,Upper secondary education,1.18
816,Colombia,2019,Upper secondary education,1.14
817,Colombia,2020,Upper secondary education,1.12
818,Colombia,2021,Upper secondary education,1.13
819,Congo,1995,Primary education,0.85
820,Congo,2005,Primary education,0.93
821,Congo,2010,Primary education,0.95
822,Congo,2015,Primary education,1.01
823,Congo,2005,Lower secondary education,0.88
824,Congo,2010,Upper secondary education,0.59
825,Cook Islands,2005,Primary education,0.99
826,Cook Islands,2010,Primary education,0.95
827,Cook Islands,2015,Primary education,0.96
828,Cook Islands,2019,Primary education,0.96
829,Cook Islands,2020,Primary education,0.98
830,Cook Islands,2021,Primary education,0.94
831,Cook Islands,2010,Lower secondary education,1.02
832,Cook Islands,2015,Lower secondary education,1
833,Cook Islands,2019,Lower secondary education,1.02
834,Cook Islands,2020,Lower secondary education,0.92
835,Cook Islands,2021,Lower secondary education,0.96
836,Cook Islands,2010,Upper secondary education,1.26
837,Cook Islands,2015,Upper secondary education,1.16
838,Cook Islands,2019,Upper secondary education,1.07
839,Cook Islands,2020,Upper secondary education,1.16
840,Cook Islands,2021,Upper secondary education,1.2
841,Costa Rica,1995,Primary education,0.99
842,Costa Rica,2005,Primary education,0.97
843,Costa Rica,2010,Primary education,0.98
844,Costa Rica,2015,Primary education,0.99
845,Costa Rica,2019,Primary education,1.01
846,Costa Rica,2020,Primary education,1.02
847,Costa Rica,2021,Primary education,0.99
848,Costa Rica,2005,Lower secondary education,1.01
849,Costa Rica,2010,Lower secondary education,0.99
850,Costa Rica,2015,Lower secondary education,0.97
851,Costa Rica,2019,Lower secondary education,1.01
852,Costa Rica,2020,Lower secondary education,1.02
853,Costa Rica,1995,Upper secondary education,1.13
854,Costa Rica,2005,Upper secondary education,1.14
855,Costa Rica,2010,Upper secondary education,1.16
856,Costa Rica,2015,Upper secondary education,1.18
857,Costa Rica,2019,Upper secondary education,1.17
858,Costa Rica,2020,Upper secondary education,1.18
859,Côte d’Ivoire,1995,Primary education,0.73
860,Côte d’Ivoire,2015,Primary education,0.88
861,Côte d’Ivoire,2019,Primary education,0.94
862,Côte d’Ivoire,2020,Primary education,0.94
863,Côte d’Ivoire,2021,Primary education,0.95
864,Côte d’Ivoire,2015,Lower secondary education,0.72
865,Côte d’Ivoire,2019,Lower secondary education,0.82
866,Côte d’Ivoire,2020,Lower secondary education,0.86
867,Côte d’Ivoire,2021,Lower secondary education,0.89
868,Côte d’Ivoire,2015,Upper secondary education,0.66
869,Côte d’Ivoire,2019,Upper secondary education,0.71
870,Côte d’Ivoire,2020,Upper secondary education,0.75
871,Côte d’Ivoire,2021,Upper secondary education,0.78
872,Croatia,1995,Primary education,1
873,Croatia,2005,Primary education,1
874,Croatia,2010,Primary education,1
875,Croatia,2015,Primary education,1
876,Croatia,2019,Primary education,1.01
877,Croatia,2020,Primary education,1
878,Croatia,2005,Lower secondary education,1.02
879,Croatia,2010,Lower secondary education,1.03
880,Croatia,2015,Lower secondary education,1.04
881,Croatia,2019,Lower secondary education,1.06
882,Croatia,2020,Lower secondary education,1.06
883,Croatia,2005,Upper secondary education,1.05
884,Croatia,2010,Upper secondary education,1.12
885,Croatia,2015,Upper secondary education,1.05
886,Croatia,2019,Upper secondary education,1.05
887,Croatia,2020,Upper secondary education,1.06
888,Cuba,1995,Primary education,0.99
889,Cuba,2005,Primary education,0.97
890,Cuba,2010,Primary education,0.98
891,Cuba,2015,Primary education,0.94
892,Cuba,2019,Primary education,0.97
893,Cuba,2020,Primary education,0.97
894,Cuba,2021,Primary education,0.98
895,Cuba,2005,Lower secondary education,0.98
896,Cuba,2010,Lower secondary education,0.98
897,Cuba,2015,Lower secondary education,0.95
898,Cuba,2019,Lower secondary education,0.93
899,Cuba,2020,Lower secondary education,0.93
900,Cuba,2021,Lower secondary education,1
901,Cuba,2005,Upper secondary education,1.06
902,Cuba,2010,Upper secondary education,1.03
903,Cuba,2015,Upper secondary education,1.11
904,Cuba,2019,Upper secondary education,1.08
905,Cuba,2020,Upper secondary education,1.07
906,Cuba,2021,Upper secondary education,1.01
907,Curaçao,2020,Primary education,0.95
908,Curaçao,2020,Lower secondary education,1.03
909,Curaçao,2020,Upper secondary education,1.55
910,Cyprus,1995,Primary education,1
911,Cyprus,2005,Primary education,1
912,Cyprus,2010,Primary education,1
913,Cyprus,2015,Primary education,1
914,Cyprus,2019,Primary education,0.99
915,Cyprus,2020,Primary education,0.99
916,Cyprus,2005,Lower secondary education,1
917,Cyprus,2010,Lower secondary education,1
918,Cyprus,2015,Lower secondary education,0.99
919,Cyprus,2019,Lower secondary education,0.98
920,Cyprus,2020,Lower secondary education,0.98
921,Cyprus,2005,Upper secondary education,1.03
922,Cyprus,2010,Upper secondary education,1.02
923,Cyprus,2015,Upper secondary education,0.99
924,Cyprus,2019,Upper secondary education,0.96
925,Cyprus,2020,Upper secondary education,0.96
926,Czechia,1995,Primary education,1
927,Czechia,2005,Primary education,0.99
928,Czechia,2010,Primary education,1
929,Czechia,2015,Primary education,1
930,Czechia,2019,Primary education,1
931,Czechia,2020,Primary education,1
932,Czechia,2005,Lower secondary education,1.01
933,Czechia,2010,Lower secondary education,1
934,Czechia,2015,Lower secondary education,1
935,Czechia,2019,Lower secondary education,1
936,Czechia,2020,Lower secondary education,1.01
937,Czechia,1995,Upper secondary education,1.06
938,Czechia,2005,Upper secondary education,1.03
939,Czechia,2010,Upper secondary education,1.01
940,Czechia,2015,Upper secondary education,1.02
941,Czechia,2019,Upper secondary education,1.02
942,Czechia,2020,Upper secondary education,1.01
943,Dem. People's Rep. Korea,2015,Lower secondary education,1.01
944,Dem. People's Rep. Korea,2015,Upper secondary education,1.02
945,Dem. Rep. of the Congo,1995,Primary education,0.69
946,Dem. Rep. of the Congo,2010,Primary education,0.87
947,Dem. Rep. of the Congo,2015,Primary education,0.99
948,Dem. Rep. of the Congo,2020,Primary education,0.95
949,Dem. Rep. of the Congo,2010,Lower secondary education,0.65
950,Dem. Rep. of the Congo,2015,Lower secondary education,0.66
951,Dem. Rep. of the Congo,2010,Upper secondary education,0.52
952,Dem. Rep. of the Congo,2015,Upper secondary education,0.62
953,Denmark,1995,Primary education,1
954,Denmark,2005,Primary education,1
955,Denmark,2010,Primary education,1
956,Denmark,2015,Primary education,0.99
957,Denmark,2019,Primary education,1
958,Denmark,2020,Primary education,1
959,Denmark,2005,Lower secondary education,1.03
960,Denmark,2010,Lower secondary education,1.02
961,Denmark,2015,Lower secondary education,1.01
962,Denmark,2019,Lower secondary education,0.98
963,Denmark,2020,Lower secondary education,0.99
964,Denmark,1995,Upper secondary education,1.05
965,Denmark,2005,Upper secondary education,1.05
966,Denmark,2010,Upper secondary education,1
967,Denmark,2015,Upper secondary education,1.08
968,Denmark,2019,Upper secondary education,1.01
969,Denmark,2020,Upper secondary education,1
970,Djibouti,1995,Primary education,0.78
971,Djibouti,2005,Primary education,0.82
972,Djibouti,2015,Primary education,1.07
973,Djibouti,2019,Primary education,1
974,Djibouti,2020,Primary education,0.96
975,Djibouti,2021,Primary education,0.92
976,Djibouti,2005,Lower secondary education,0.67
977,Djibouti,2015,Lower secondary education,0.98
978,Djibouti,2019,Lower secondary education,1.06
979,Djibouti,2020,Lower secondary education,1.05
980,Djibouti,2021,Lower secondary education,1.01
981,Djibouti,2005,Upper secondary education,0.63
982,Djibouti,2015,Upper secondary education,0.89
983,Djibouti,2019,Upper secondary education,0.99
984,Djibouti,2020,Upper secondary education,1.01
985,Djibouti,2021,Upper secondary education,1.02
986,Dominica,1995,Primary education,1.15
987,Dominica,2005,Primary education,1
988,Dominica,2010,Primary education,0.98
989,Dominica,2015,Primary education,0.98
990,Dominica,2019,Primary education,0.97
991,Dominica,2020,Primary education,0.93
992,Dominica,2021,Primary education,0.95
993,Dominica,2005,Lower secondary education,0.98
994,Dominica,2010,Lower secondary education,0.95
995,Dominica,2015,Lower secondary education,0.93
996,Dominica,2019,Lower secondary education,0.94
997,Dominica,2020,Lower secondary education,0.96
998,Dominica,2021,Lower secondary education,0.89
999,Dominica,2005,Upper secondary education,1.36
1000,Dominica,2010,Upper secondary education,1.38
1001,Dominica,2015,Upper secondary education,1.12
1002,Dominica,2019,Upper secondary education,1.2
1003,Dominica,2020,Upper secondary education,1.15
1004,Dominica,2021,Upper secondary education,1.18
1005,Dominican Republic,2005,Primary education,0.95
1006,Dominican Republic,2010,Primary education,0.88
1007,Dominican Republic,2015,Primary education,0.91
1008,Dominican Republic,2019,Primary education,0.95
1009,Dominican Republic,2020,Primary education,0.96
1010,Dominican Republic,2021,Primary education,0.97
1011,Dominican Republic,2005,Lower secondary education,1.13
1012,Dominican Republic,2010,Lower secondary education,1.03
1013,Dominican Republic,2015,Lower secondary education,1.02
1014,Dominican Republic,2019,Lower secondary education,1.01
1015,Dominican Republic,2020,Lower secondary education,1.02
1016,Dominican Republic,2021,Lower secondary education,1.03
1017,Dominican Republic,2005,Upper secondary education,1.24
1018,Dominican Republic,2010,Upper secondary education,1.19
1019,Dominican Republic,2015,Upper secondary education,1.15
1020,Dominican Republic,2019,Upper secondary education,1.19
1021,Dominican Republic,2020,Upper secondary education,1.18
1022,Dominican Republic,2021,Upper secondary education,1.19
1023,Ecuador,1995,Primary education,1
1024,Ecuador,2005,Primary education,1
1025,Ecuador,2010,Primary education,1
1026,Ecuador,2015,Primary education,1
1027,Ecuador,2019,Primary education,1.02
1028,Ecuador,2020,Primary education,1.02
1029,Ecuador,2021,Primary education,1.02
1030,Ecuador,2005,Lower secondary education,0.97
1031,Ecuador,2010,Lower secondary education,1.02
1032,Ecuador,2015,Lower secondary education,1.03
1033,Ecuador,2019,Lower secondary education,1.01
1034,Ecuador,2020,Lower secondary education,1.01
1035,Ecuador,2021,Lower secondary education,1
1036,Ecuador,2005,Upper secondary education,1.07
1037,Ecuador,2010,Upper secondary education,1.08
1038,Ecuador,2015,Upper secondary education,1.06
1039,Ecuador,2019,Upper secondary education,1.04
1040,Ecuador,2020,Upper secondary education,1.04
1041,Ecuador,2021,Upper secondary education,1.04
1042,Egypt,1995,Primary education,0.89
1043,Egypt,2005,Primary education,0.95
1044,Egypt,2010,Primary education,0.97
1045,Egypt,2019,Primary education,1.01
1046,Egypt,2010,Lower secondary education,0.99
1047,Egypt,2019,Lower secondary education,1
1048,Egypt,1995,Upper secondary education,0.89
1049,Egypt,2010,Upper secondary education,0.94
1050,Egypt,2019,Upper secondary education,0.98
1051,El Salvador,1995,Primary education,0.98
1052,El Salvador,2005,Primary education,0.97
1053,El Salvador,2010,Primary education,0.95
1054,El Salvador,2005,Lower secondary education,0.99
1055,El Salvador,2010,Lower secondary education,0.99
1056,El Salvador,2005,Upper secondary education,1.04
1057,El Salvador,2010,Upper secondary education,1.02
1058,El Salvador,2015,Upper secondary education,1.05
1059,El Salvador,2019,Upper secondary education,1.04
1060,El Salvador,2020,Upper secondary education,1.03
1061,El Salvador,2021,Upper secondary education,1.09
1062,Equatorial Guinea,2005,Primary education,0.97
1063,Equatorial Guinea,2010,Primary education,0.99
1064,Equatorial Guinea,2015,Primary education,0.99
1065,Equatorial Guinea,2019,Primary education,0.99
1066,Equatorial Guinea,2005,Lower secondary education,0.8
1067,Equatorial Guinea,2015,Lower secondary education,1.03
1068,Equatorial Guinea,2005,Upper secondary education,0.42
1069,Eritrea,1995,Primary education,0.81
1070,Eritrea,2005,Primary education,0.81
1071,Eritrea,2010,Primary education,0.85
1072,Eritrea,2015,Primary education,0.86
1073,Eritrea,2019,Primary education,0.86
1074,Eritrea,2005,Lower secondary education,0.64
1075,Eritrea,2010,Lower secondary education,0.81
1076,Eritrea,2015,Lower secondary education,0.85
1077,Eritrea,2019,Lower secondary education,0.89
1078,Eritrea,2005,Upper secondary education,0.53
1079,Eritrea,2010,Upper secondary education,0.71
1080,Eritrea,2015,Upper secondary education,0.85
1081,Eritrea,2019,Upper secondary education,0.97
1082,Estonia,1995,Primary education,0.97
1083,Estonia,2005,Primary education,0.97
1084,Estonia,2010,Primary education,0.99
1085,Estonia,2015,Primary education,1
1086,Estonia,2019,Primary education,1.01
1087,Estonia,2020,Primary education,1
1088,Estonia,2005,Lower secondary education,0.96
1089,Estonia,2010,Lower secondary education,0.96
1090,Estonia,2015,Lower secondary education,0.96
1091,Estonia,2019,Lower secondary education,0.99
1092,Estonia,2020,Lower secondary education,0.99
1093,Estonia,2005,Upper secondary education,1.12
1094,Estonia,2010,Upper secondary education,1.03
1095,Estonia,2015,Upper secondary education,1.03
1096,Estonia,2019,Upper secondary education,1.08
1097,Estonia,2020,Upper secondary education,1.11
1098,Eswatini,1995,Primary education,0.98
1099,Eswatini,2005,Primary education,0.93
1100,Eswatini,2010,Primary education,0.91
1101,Eswatini,2015,Primary education,0.91
1102,Eswatini,2019,Primary education,0.92
1103,Eswatini,2005,Lower secondary education,1
1104,Eswatini,2010,Lower secondary education,0.96
1105,Eswatini,2015,Lower secondary education,1
1106,Eswatini,2005,Upper secondary education,0.88
1107,Eswatini,2010,Upper secondary education,0.92
1108,Eswatini,2015,Upper secondary education,0.99
1109,Ethiopia,1995,Primary education,0.6
1110,Ethiopia,2005,Primary education,0.84
1111,Ethiopia,2010,Primary education,0.92
1112,Ethiopia,2015,Primary education,0.91
1113,Ethiopia,2019,Primary education,0.9
1114,Ethiopia,2020,Primary education,0.91
1115,Ethiopia,2021,Primary education,0.91
1116,Ethiopia,2005,Lower secondary education,0.6
1117,Ethiopia,2010,Lower secondary education,0.86
1118,Ethiopia,2015,Lower secondary education,0.96
1119,Ethiopia,1995,Upper secondary education,0.79
1120,Ethiopia,2005,Upper secondary education,0.67
1121,Ethiopia,2010,Upper secondary education,0.7
1122,Ethiopia,2015,Upper secondary education,0.98
1123,Fiji,1995,Primary education,1
1124,Fiji,2015,Primary education,0.98
1125,Fiji,2019,Primary education,0.96
1126,Fiji,2020,Primary education,0.97
1127,Fiji,2021,Primary education,0.96
1128,Fiji,2010,Lower secondary education,1.04
1129,Fiji,2015,Lower secondary education,1.01
1130,Fiji,2019,Lower secondary education,0.5
1131,Fiji,2020,Lower secondary education,0.98
1132,Fiji,2021,Lower secondary education,0.98
1133,Fiji,2015,Upper secondary education,1.15
1134,Fiji,2019,Upper secondary education,1.21
1135,Fiji,2020,Upper secondary education,1.22
1136,Fiji,2021,Upper secondary education,1.21
1137,Finland,1995,Primary education,1
1138,Finland,2005,Primary education,0.99
1139,Finland,2010,Primary education,0.99
1140,Finland,2015,Primary education,0.99
1141,Finland,2019,Primary education,0.99
1142,Finland,2020,Primary education,1
1143,Finland,2005,Lower secondary education,1
1144,Finland,2010,Lower secondary education,0.99
1145,Finland,2015,Lower secondary education,1
1146,Finland,2019,Lower secondary education,0.99
1147,Finland,2020,Lower secondary education,0.99
1148,Finland,1995,Upper secondary education,1.27
1149,Finland,2005,Upper secondary education,1.09
1150,Finland,2010,Upper secondary education,1.09
1151,Finland,2015,Upper secondary education,1.16
1152,Finland,2019,Upper secondary education,1.16
1153,Finland,2020,Upper secondary education,1.17
1154,France,1995,Primary education,0.98
1155,France,2005,Primary education,0.99
1156,France,2010,Primary education,0.99
1157,France,2015,Primary education,0.99
1158,France,2019,Primary education,0.99
1159,France,2020,Primary education,0.99
1160,France,2005,Lower secondary education,0.99
1161,France,2010,Lower secondary education,1
1162,France,2015,Lower secondary education,1
1163,France,2019,Lower secondary education,0.99
1164,France,2020,Lower secondary education,0.99
1165,France,1995,Upper secondary education,0.99
1166,France,2005,Upper secondary education,1.02
1167,France,2010,Upper secondary education,1.03
1168,France,2015,Upper secondary education,1.03
1169,France,2019,Upper secondary education,1.01
1170,France,2020,Upper secondary education,1.01
1171,French Guiana,1995,Primary education,0.97
1172,French Polynesia,1995,Primary education,0.96
1173,Gabon,1995,Primary education,1
1174,Gabon,2019,Primary education,0.97
1175,Gabon,2019,Lower secondary education,1.08
1176,Gabon,2019,Upper secondary education,1.07
1177,Gambia,1995,Primary education,0.75
1178,Gambia,2005,Primary education,1.03
1179,Gambia,2010,Primary education,1.03
1180,Gambia,2015,Primary education,1.07
1181,Gambia,2019,Primary education,1.11
1182,Gambia,2020,Primary education,1.12
1183,Gambia,2021,Primary education,1.13
1184,Gambia,2005,Lower secondary education,0.89
1185,Gambia,2010,Lower secondary education,1.03
1186,Gambia,2015,Lower secondary education,1.03
1187,Gambia,2019,Lower secondary education,1.14
1188,Gambia,2020,Lower secondary education,1.18
1189,Gambia,2021,Lower secondary education,1.2
1190,Gambia,2010,Upper secondary education,0.87
1191,Gambia,2021,Upper secondary education,1.16
1192,Georgia,1995,Primary education,0.99
1193,Georgia,2005,Primary education,1.04
1194,Georgia,2010,Primary education,1.01
1195,Georgia,2015,Primary education,1
1196,Georgia,2019,Primary education,1.01
1197,Georgia,2020,Primary education,1.01
1198,Georgia,2021,Primary education,1.01
1199,Georgia,2005,Lower secondary education,1.03
1200,Georgia,2010,Lower secondary education,1.02
1201,Georgia,2015,Lower secondary education,1.01
1202,Georgia,2019,Lower secondary education,1
1203,Georgia,2020,Lower secondary education,1.01
1204,Georgia,2021,Lower secondary education,1.01
1205,Georgia,2005,Upper secondary education,1.05
1206,Georgia,2015,Upper secondary education,1.05
1207,Georgia,2019,Upper secondary education,1.01
1208,Georgia,2020,Upper secondary education,1.01
1209,Georgia,2021,Upper secondary education,1
1210,Germany,1995,Primary education,0.99
1211,Germany,2005,Primary education,1
1212,Germany,2010,Primary education,0.99
1213,Germany,2015,Primary education,1
1214,Germany,2019,Primary education,1.01
1215,Germany,2020,Primary education,1.01
1216,Germany,2005,Lower secondary education,0.99
1217,Germany,2010,Lower secondary education,0.99
1218,Germany,2015,Lower secondary education,0.99
1219,Germany,2019,Lower secondary education,0.99
1220,Germany,2020,Lower secondary education,1
1221,Germany,1995,Upper secondary education,0.89
1222,Germany,2005,Upper secondary education,0.94
1223,Germany,2010,Upper secondary education,0.89
1224,Germany,2015,Upper secondary education,0.9
1225,Germany,2019,Upper secondary education,0.88
1226,Germany,2020,Upper secondary education,0.88
1227,Ghana,1995,Primary education,0.9
1228,Ghana,2005,Primary education,0.96
1229,Ghana,2015,Primary education,1
1230,Ghana,2019,Primary education,1.01
1231,Ghana,2020,Primary education,1.02
1232,Ghana,2021,Primary education,1.02
1233,Ghana,2005,Lower secondary education,0.88
1234,Ghana,2015,Lower secondary education,0.98
1235,Ghana,2019,Lower secondary education,1.02
1236,Ghana,2020,Lower secondary education,1.03
1237,Ghana,2021,Lower secondary education,1.03
1238,Ghana,2005,Upper secondary education,0.73
1239,Ghana,2015,Upper secondary education,0.9
1240,Ghana,2019,Upper secondary education,0.96
1241,Ghana,2020,Upper secondary education,0.97
1242,Ghana,2021,Upper secondary education,0.98
1243,Gibraltar,2019,Primary education,1.02
1244,Gibraltar,2020,Primary education,1.09
1245,Gibraltar,2021,Primary education,1.07
1246,Gibraltar,2019,Lower secondary education,0.96
1247,Gibraltar,2020,Lower secondary education,0.98
1248,Gibraltar,2021,Lower secondary education,0.91
1249,Gibraltar,2019,Upper secondary education,0.94
1250,Gibraltar,2020,Upper secondary education,0.98
1251,Gibraltar,2021,Upper secondary education,0.94
1252,Greece,1995,Primary education,1.02
1253,Greece,2005,Primary education,0.98
1254,Greece,2010,Primary education,0.98
1255,Greece,2015,Primary education,0.99
1256,Greece,2019,Primary education,1.01
1257,Greece,2020,Primary education,1.01
1258,Greece,2005,Lower secondary education,0.95
1259,Greece,2010,Lower secondary education,0.94
1260,Greece,2015,Lower secondary education,0.95
